PPSORT,AGEIMM,BedRm,CMA,CONDO,COW,DIST,GENSTAT,HHSIZE,IMMCAT5,MODE,MTNEn,MTNFr,NAICS,NOC16,NOCS,PKIDS,POWST,PR,PRIHM,PWDUR,PWLEAVE,ROOMS,Sex,SHELCO,Subsidy,Tenur,VisMin,Wages,WKSWRK,aboriginal,age,STEM,YrEd,PrMinWage_V,PrMinWage_Vstat,PartTime,Married
840219,0,4,999,0,1,7,4,4,1,2,1,1,8,26,8,1,4,35,0,22,7,7,1,1100,0,2,0,18000,34.5,1,22,1,14,11.25,11.25,0,1
84222,0,3,999,1,1,22,4,3,1,2,0,1,14,13,5,1,6,24,1,7,7,5,1,500,0,2,0,78000,44,0,47,0,16,10.75,10.75,0,1
357690,0,4,462,1,1,2,4,3,1,2,0,1,7,20,7,1,5,24,0,7,9,9,0,1100,0,2,0,3000,50.5,0,17,0,14,10.75,10.75,1,0
291984,3,5,539,0,1,2,1,7,23,7,0,0,17,23,7,1,4,35,0,22,8,7,0,1000,0,2,1,11000,24.5,0,27,0,12,11.25,11.25,0,1
22361,0,3,999,0,1,35,4,2,1,2,1,0,14,12,4,1,6,12,1,52,7,6,0,900,0,2,0,35000,44,0,37,0,16,10.7,10.7,0,0
468680,6,1,535,0,1,22,1,2,22,2,0,0,5,29,10,0,5,35,1,37,9,2,1,1300,0,2,1,56000,50.5,0,52,0,12,11.25,11.25,0,1
67020,4,2,825,1,1,17,1,2,21,2,0,0,7,88,88,1,5,48,1,37,9,3,0,1500,0,2,0,28000,44,0,32,0,16,11.2,11.2,0,0
614149,7,1,462,0,1,2,1,3,21,2,0,0,6,27,8,1,5,24,1,22,14,3,1,600,0,2,1,1000,14.5,0,37,1,17,10.75,10.75,0,1
788333,0,3,532,0,1,12,3,2,1,2,1,0,88,22,7,1,5,35,0,22,7,6,1,1400,0,2,1,10000,34.5,0,22,0,12,11.25,11.25,0,0
821486,0,5,499,0,1,7,4,8,1,2,0,1,88,21,7,1,4,24,1,22,8,10,0,1000,0,2,0,15000,44,0,32,0,14,10.75,10.75,0,0
425732,0,2,462,0,1,2,4,2,1,1,0,1,17,19,7,0,4,24,0,37,9,4,1,1100,0,2,0,38000,50.5,0,32,0,12,10.75,10.75,0,1
87434,0,2,825,1,1,17,4,3,1,2,1,0,2,18,7,1,4,48,1,37,7,4,1,2500,0,2,0,150000,44,0,52,0,16,11.2,11.2,0,0
259902,0,1,462,0,1,12,4,2,1,6,0,1,13,29,10,0,4,24,1,70,6,3,1,900,0,2,0,35000,44,0,37,0,14,10.75,10.75,0,1
225058,0,5,999,0,1,22,4,2,1,2,1,0,5,30,10,0,5,35,0,37,6,9,1,1100,0,2,0,34000,50.5,0,47,0,12,11.25,11.25,0,1
624625,0,2,988,0,1,35,4,2,1,2,1,0,4,24,8,0,6,59,0,70,5,5,1,1200,0,2,0,160000,50.5,0,47,0,13,10.45,10.45,0,1
247265,0,4,999,0,1,35,4,2,1,2,0,1,14,13,5,0,5,59,0,22,6,9,1,1100,0,2,0,56000,50.5,0,62,0,12,10.45,10.45,0,1
750757,5,2,535,1,4,2,1,2,2,2,1,0,7,3,1,1,4,35,1,22,9,4,0,2700,0,2,1,52000,50.5,0,62,0,16,11.25,11.25,0,0
628061,4,4,205,1,1,2,1,4,21,5,0,0,88,23,7,1,4,12,0,7,14,5,1,1500,0,2,1,7000,50.5,0,17,0,12,10.7,10.7,1,0
389159,0,3,537,0,1,2,4,3,1,6,1,0,15,6,2,1,4,35,0,52,7,5,0,1600,0,2,0,50000,50.5,0,62,0,14,11.25,11.25,0,1
693384,0,3,399,0,1,7,4,6,1,2,1,0,5,26,8,1,4,13,0,7,6,5,1,900,0,2,0,12000,44,0,17,0,12,10.65,10.65,0,0
833307,8,2,835,0,1,2,1,3,21,6,0,0,15,16,5,1,4,48,0,37,7,4,0,1300,0,2,1,31000,50.5,0,42,0,15,11.2,11.2,0,1
241704,0,2,505,1,1,2,4,2,1,6,1,0,12,15,5,0,4,35,0,7,8,4,0,1300,0,2,0,34000,50.5,0,27,0,14,11.25,11.25,0,1
207483,6,1,462,0,1,7,1,2,22,6,0,0,88,88,88,1,4,24,1,52,7,3,1,500,0,2,1,12000,24.5,0,37,0,0,10.75,10.75,0,0
488985,0,2,462,0,1,2,4,2,1,7,0,1,7,20,7,0,4,24,0,7,9,4,0,800,0,2,0,8000,34.5,0,22,0,13,10.75,10.75,1,1
662677,0,3,999,0,1,2,4,5,1,2,0,1,7,22,7,1,4,24,0,7,7,5,1,500,0,2,0,13000,50.5,0,17,1,14,10.75,10.75,1,0
546533,0,3,825,0,1,17,3,3,1,2,1,0,18,7,2,1,5,48,1,22,7,6,0,2200,0,2,0,39000,24.5,0,32,0,14,11.2,11.2,0,0
268444,0,2,535,0,1,7,3,3,1,6,1,0,5,17,6,1,4,35,0,37,7,4,1,1700,0,2,0,36000,34.5,0,42,0,14,11.25,11.25,0,1
174621,0,3,535,0,1,2,4,4,1,1,1,0,7,7,2,1,4,35,0,22,8,5,1,1700,0,2,0,51000,50.5,0,52,0,9,11.25,11.25,0,1
455769,0,2,999,1,1,35,4,3,1,2,0,1,16,17,6,1,6,24,1,70,7,5,0,900,0,2,0,10000,50.5,0,27,1,16,10.75,10.75,0,1
262755,0,3,999,0,1,27,4,5,1,2,1,0,5,29,10,1,6,35,1,37,6,8,1,1200,0,2,0,34000,50.5,0,32,0,12,11.25,11.25,0,1
678253,0,4,999,0,1,35,1,2,21,7,1,0,15,11,4,1,5,48,1,7,6,7,0,1200,0,2,1,65000,24.5,0,57,0,16,11.2,11.2,0,0
511823,0,5,999,0,1,35,4,6,1,2,1,0,19,16,5,1,6,35,1,7,6,9,1,1500,0,2,0,96000,50.5,1,42,0,14,11.25,11.25,0,1
333543,0,1,462,0,5,2,4,2,1,7,0,1,17,17,6,0,4,24,0,7,14,4,0,1100,0,2,0,1000,50.5,0,37,0,14,10.75,10.75,1,1
542436,8,2,535,0,1,12,1,3,21,2,1,0,12,9,3,1,4,35,1,37,8,4,1,1500,0,2,1,28000,50.5,0,37,1,16,11.25,11.25,0,1
669607,2,1,535,0,1,2,1,2,21,6,0,0,12,88,88,1,4,35,1,37,7,3,0,1300,0,2,0,16000,34.5,0,27,0,14,11.25,11.25,0,0
497962,8,2,535,0,1,12,1,3,21,2,0,0,6,30,10,1,6,35,1,52,8,4,1,1300,0,2,1,35000,50.5,0,52,0,16,11.25,11.25,0,1
248755,0,3,532,0,1,2,3,2,1,6,1,0,88,8,2,1,5,35,1,22,9,6,0,1400,0,2,0,27000,24.5,0,42,0,14,11.25,11.25,1,0
222893,0,2,462,0,1,2,2,2,1,6,0,1,18,21,7,1,4,24,0,52,8,5,0,700,0,2,1,11000,5,0,27,0,12,10.75,10.75,1,0
855518,3,3,505,1,1,2,1,5,23,2,0,0,17,23,7,1,4,35,0,7,14,5,1,1400,0,2,1,14000,34.5,0,17,0,12,11.25,11.25,1,0
480554,0,1,535,0,1,2,2,2,1,6,0,0,15,12,4,0,4,35,0,22,6,5,0,1100,0,2,0,44000,44,0,42,0,12,11.25,11.25,0,1
50662,5,3,535,0,1,2,1,7,21,5,0,0,7,18,7,1,4,35,0,37,5,4,1,1500,0,2,1,17000,44,0,27,1,16,11.25,11.25,0,0
62696,0,2,999,0,1,2,3,2,1,2,1,0,15,14,5,0,4,46,0,7,8,5,0,1000,0,2,0,40000,44,1,47,0,13,11,11,0,1
571427,0,3,999,0,1,12,4,5,1,2,1,0,1,26,8,1,4,35,0,22,8,7,1,1300,0,2,0,60000,50.5,0,42,0,12,11.25,11.25,0,1
